Entry Time,Entry Price,Exit Time,Exit Price,Strategy,PnL,Status
2022-10-02,19056.8,2022-11-10,17601.15,MACD,-1455.6499999999978,Closed
2022-12-03,16885.2,2023-02-08,22963.0,MACD,6077.799999999999,Closed
2023-03-18,26907.49,2023-04-10,29637.34,MACD,2729.8499999999985,Closed
2023-04-12,29888.07,2023-04-20,28243.65,MACD,-1644.4199999999983,Closed
2023-06-02,27242.59,2023-06-09,26477.81,MACD,-764.7799999999988,Closed
2023-06-20,28307.99,2023-07-16,30231.99,MACD,1924.0,Closed
2023-09-10,25841.61,2023-11-19,37359.86,MACD,11518.25,Closed
2023-12-06,43762.69,2023-12-18,42657.8,MACD,-1104.8899999999994,Closed
2024-02-06,43098.95,2024-03-21,65501.27,MACD,22402.32,Closed
2024-05-16,65235.21,2024-06-13,66773.01,MACD,1537.7999999999956,Closed
2024-07-17,64087.99,2024-08-05,54018.81,MACD,-10069.18,Closed
2024-08-24,64157.01,2024-09-04,57970.9,MACD,-6186.110000000001,Closed
2024-09-16,58213.99,2024-10-09,60636.02,MACD,2422.029999999999,Closed
2024-10-16,67620.01,2024-12-04,98587.32,MACD,30967.310000000012,Closed
2025-01-19,101331.57,2025-02-04,97763.13,MACD,-3568.4400000000023,Closed
2025-03-22,83840.59,2025-05-30,103985.48,MACD,20144.89,Closed
2023-08-29,27716.34,2023-08-31,25940.78,RSI-EMA,-1775.5600000000013,Closed
